    INT     ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,       INT        ,       INT        ,         FLOAT          ,         FLOAT          ,      INT       ,   BOOL   ,   BOOL   , BOOL , BOOL ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,       INT        ,       INT        ,         FLOAT          ,         FLOAT          ,   BOOL   ,   BOOL   ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         INT         ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,INT
     -      ,          Myr           ,          Myr           ,          Msol          ,          Msol          ,          Rsol          ,          Rsol          ,        -         ,        -         ,          Rsol          ,           -            ,     Count      ,  State   ,  State   ,Event ,State ,           -            ,           -            ,          Msol          ,          Msol          ,          Rsol          ,          Rsol          ,        -         ,        -         ,          Rsol          ,           -            ,  Event   ,  Event   ,           -            ,           -            ,           -            ,        Msol/Myr        ,          -          ,           -            ,           -            ,           -            ,           -            ,           -            ,           -            ,           -            ,           -            ,-
    SEED    ,        Time>MT         ,        Time<MT         ,       Mass(1)>MT       ,       Mass(2)>MT       ,      Radius(1)>MT      ,      Radius(2)>MT      ,Stellar_Type(1)>MT,Stellar_Type(2)>MT,    SemiMajorAxis>MT    ,    Eccentricity>MT     ,MT_Event_Counter,RLOF(1)>MT,RLOF(2)>MT,Merger,CEE>MT,   Radius(1)|RL>step    ,   Radius(2)|RL>step    ,       Mass(1)<MT       ,       Mass(2)<MT       ,      Radius(1)<MT      ,      Radius(2)<MT      ,Stellar_Type(1)<MT,Stellar_Type(2)<MT,    SemiMajorAxis<MT    ,    Eccentricity<MT     ,RLOF(1)<MT,RLOF(2)<MT,   Radius(1)|RL<step    ,   Radius(2)|RL<step    ,          Beta          , MassTransferRateDonor  ,MassTransferTimescale,    Zeta_Soberman(1)    ,  Zeta_Soberman_He(1)   ,     Zeta_Hurley(1)     ,   Zeta_Hurley_He(1)    ,    Zeta_Soberman(2)    ,  Zeta_Soberman_He(2)   ,     Zeta_Hurley(2)     ,   Zeta_Hurley_He(2)    ,Record_Type
  1727761720,       0.170138861411000,       0.000000000000000,       0.850000000000000,       0.850000000000000,       0.768791303857559,       0.768791303857559,                 1,                 1,       1.561132530690446,       0.000000000000000,               1,1,1,1,1,       1.299632507729940,       1.299632507729940,       0.850000000000000,       0.850000000000000,       0.768791303857559,       0.768791303857559,                 1,                 1,       1.561132530690446,       0.000000000000000,0,0,       1.299632507729940,       1.299632507729940,       0.500000000000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000000000000,                    3,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,         1
  1727761721,       0.170138861411000,       0.000000000000000,       0.850000000000000,       0.850000000000000,       0.768791303857559,       0.768791303857559,                 1,                 1,       1.614890537945627,       0.000000000000000,               1,1,1,1,1,       1.256369108671021,       1.256369108671021,       0.850000000000000,       0.850000000000000,       0.768791303857559,       0.768791303857559,                 1,                 1,       1.614890537945627,       0.000000000000000,0,0,       1.256369108671021,       1.256369108671021,       0.500000000000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000000000000,                    3,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,         1
  1727761722,       0.170138861411000,       0.000000000000000,       0.850000000000000,       0.850000000000000,       0.768791303857559,       0.768791303857559,                 1,                 1,       1.668648545200808,       0.000000000000000,               1,1,1,1,1,       1.215893299757650,       1.215893299757650,       0.850000000000000,       0.850000000000000,       0.768791303857559,       0.768791303857559,                 1,                 1,       1.668648545200808,       0.000000000000000,0,0,       1.215893299757650,       1.215893299757650,       0.500000000000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000000000000,                    3,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,         1
  1727761723,       0.170138861411000,       0.000000000000000,       0.850000000000000,       0.850000000000000,       0.768791303857559,       0.768791303857559,                 1,                 1,       1.722406552455988,       0.000000000000000,               1,1,1,1,1,       1.177944070676575,       1.177944070676575,       0.850000000000000,       0.850000000000000,       0.768791303857559,       0.768791303857559,                 1,                 1,       1.722406552455988,       0.000000000000000,0,0,       1.177944070676575,       1.177944070676575,       0.500000000000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000000000000,                    3,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,         1
  1727761724,       0.170138861411000,       0.000000000000000,       0.850000000000000,       0.850000000000000,       0.768791303857559,       0.768791303857559,                 1,                 1,       1.776164559711169,       0.000000000000000,               1,1,1,1,1,       1.142292010426073,       1.142292010426073,       0.850000000000000,       0.850000000000000,       0.768791303857559,       0.768791303857559,                 1,                 1,       1.776164559711169,       0.000000000000000,0,0,       1.142292010426073,       1.142292010426073,       0.500000000000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000000000000,                    3,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,         1
  1727761725,       0.170138861411000,       0.000000000000000,       0.850000000000000,       0.850000000000000,       0.768791303857559,       0.768791303857559,                 1,                 1,       1.829922566966350,       0.000000000000000,               1,1,1,1,1,       1.108734665818962,       1.108734665818962,       0.850000000000000,       0.850000000000000,       0.768791303857559,       0.768791303857559,                 1,                 1,       1.829922566966350,       0.000000000000000,0,0,       1.108734665818962,       1.108734665818962,       0.500000000000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000000000000,                    3,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,         1
  1727761726,       0.170138861411000,       0.000000000000000,       0.850000000000000,       0.850000000000000,       0.768791303857559,       0.768791303857559,                 1,                 1,       1.883680574221530,       0.000000000000000,               1,1,1,1,1,       1.077092694762485,       1.077092694762485,       0.850000000000000,       0.850000000000000,       0.768791303857559,       0.768791303857559,                 1,                 1,       1.883680574221530,       0.000000000000000,0,0,       1.077092694762485,       1.077092694762485,       0.500000000000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000000000000,                    3,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,         1
  1727761727,       0.170138861411000,       0.000000000000000,       0.850000000000000,       0.850000000000000,       0.768791303857559,       0.768791303857559,                 1,                 1,       1.937438581476711,       0.000000000000000,               1,1,1,1,1,       1.047206659946655,       1.047206659946655,       0.850000000000000,       0.850000000000000,       0.768791303857559,       0.768791303857559,                 1,                 1,       1.937438581476711,       0.000000000000000,0,0,       1.047206659946655,       1.047206659946655,       0.500000000000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000000000000,                    3,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,         1
