    INT     ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,       INT        ,       INT        ,         FLOAT          ,         FLOAT          ,      INT       ,   BOOL   ,   BOOL   , BOOL , BOOL ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,       INT        ,       INT        ,         FLOAT          ,         FLOAT          ,   BOOL   ,   BOOL   ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,INT
     -      ,          Myr           ,          Myr           ,          Msol          ,          Msol          ,          Rsol          ,          Rsol          ,        -         ,        -         ,          Rsol          ,           -            ,     Count      ,  State   ,  State   ,Event ,State ,           -            ,           -            ,          Msol          ,          Msol          ,          Rsol          ,          Rsol          ,        -         ,        -         ,          Rsol          ,           -            ,  Event   ,  Event   ,           -            ,           -            ,           -            ,        Msol/Myr        ,           -            ,           -            ,           -            ,           -            ,           -            ,           -            ,           -            ,           -            ,-
    SEED    ,        Time>MT         ,        Time<MT         ,       Mass(1)>MT       ,       Mass(2)>MT       ,      Radius(1)>MT      ,      Radius(2)>MT      ,Stellar_Type(1)>MT,Stellar_Type(2)>MT,    SemiMajorAxis>MT    ,    Eccentricity>MT     ,MT_Event_Counter,RLOF(1)>MT,RLOF(2)>MT,Merger,CEE>MT,   Radius(1)|RL>step    ,   Radius(2)|RL>step    ,       Mass(1)<MT       ,       Mass(2)<MT       ,      Radius(1)<MT      ,      Radius(2)<MT      ,Stellar_Type(1)<MT,Stellar_Type(2)<MT,    SemiMajorAxis<MT    ,    Eccentricity<MT     ,RLOF(1)<MT,RLOF(2)<MT,   Radius(1)|RL<step    ,   Radius(2)|RL<step    ,          Beta          , MassTransferRateDonor  ,    Zeta_Soberman(1)    ,  Zeta_Soberman_He(1)   ,     Zeta_Hurley(1)     ,   Zeta_Hurley_He(1)    ,    Zeta_Soberman(2)    ,  Zeta_Soberman_He(2)   ,     Zeta_Hurley(2)     ,   Zeta_Hurley_He(2)    ,Record_Type
  1726715705,    6581.427947917152778,    6449.054117258183396,       0.887821966423524,       0.812178033576476,       1.007364515871253,       0.773299865858070,                 1,                 0,       2.535142009330539,       0.000000000000000,               9,1,0,0,0,       1.027690646395016,       0.821663877229667,       0.892385781002243,       0.807614218997757,       1.005892426815501,       0.770069498467369,                 1,                 0,       2.537717916914482,       0.000000000000000,1,0,       1.022667109860445,       0.819442648086251,       1.000000000000000,       0.000034476713078,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1726715705,    6716.464558497298640,    6581.427947917152778,       0.883155817504646,       0.816844182495354,       1.006763638896660,       0.778466584173431,                 1,                 0,       2.532814791365561,       0.000000000000000,              10,1,0,0,0,       1.030573655020508,       0.825809211109532,       0.887821966423524,       0.812178033576476,       1.004868584673142,       0.775182584869718,                 1,                 0,       2.535142009330539,       0.000000000000000,1,0,       1.025144353463380,       0.823664345962618,       1.000000000000000,       0.000034554695196,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1726715705,    6854.298634220361237,    6716.464558497298640,       0.878378465292050,       0.821621534707950,       1.006212827139298,       0.783825760099761,                 1,                 0,       2.530751807271201,       0.000000000000000,              11,1,0,0,0,       1.033473385476994,       0.830010999061488,       0.883155817504646,       0.816844182495354,       1.003838652540282,       0.780481575783301,                 1,                 0,       2.532814791365561,       0.000000000000000,1,0,       1.027579492573916,       0.827946744904262,       1.000000000000000,       0.000034660167941,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1726715705,    6995.077943005463567,    6854.298634220361237,       0.873480214754115,       0.826519785245885,       1.005720332114344,       0.789397867142890,                 1,                 0,       2.528971236382727,       0.000000000000000,              12,1,0,0,0,       1.036396574980219,       0.834277424804780,       0.878378465292050,       0.821621534707950,       1.002800714195520,       0.785986337927432,                 1,                 0,       2.530751807271201,       0.000000000000000,1,0,       1.029968830754051,       0.832298884268358,       1.000000000000000,       0.000034793824321,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1726715705,    7138.965060024865124,    6995.077943005463567,       0.868450431827498,       0.831549568172502,       1.005296556634379,       0.795205933318584,                 1,                 0,       2.527494312584929,       0.000000000000000,              13,1,0,0,0,       1.039351611952963,       0.838617456496421,       0.873480214754115,       0.826519785245885,       1.001752729952998,       0.791719208903989,                 1,                 0,       2.528971236382727,       0.000000000000000,1,0,       1.032307953959444,       0.836730741575891,       1.000000000000000,       0.000034956450798,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1726715705,    7286.139386732291314,    7138.965060024865124,       0.863277390755752,       0.836722609244248,       1.004954788590358,       0.801275987715154,                 1,                 0,       2.526345828020947,       0.000000000000000,              14,1,0,0,0,       1.042349215083787,       0.843040976479611,       0.868450431827498,       0.831549568172502,       1.000692543328642,       0.797705416912155,                 1,                 0,       2.527494312584929,       0.000000000000000,1,0,       1.034591634790809,       0.841253390769507,       1.000000000000000,       0.000035149072447,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1726715705,    7436.799540678711310,    7286.139386732291314,       0.857948060548049,       0.842051939451951,       1.004712298671840,       0.807637626912038,                 1,                 0,       2.525554751526760,       0.000000000000000,              15,1,0,0,0,       1.045403493660160,       0.847558945641240,       0.863277390755752,       0.836722609244248,       0.999617895802168,       0.803973606721505,                 1,                 0,       2.526345828020947,       0.000000000000000,1,0,       1.036813736202633,       0.845879203752299,       1.000000000000000,       0.000035373189713,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1726715705,    7591.166223605676350,    7436.799540678711310,       0.852447798307199,       0.847552201692801,       1.004592036836844,       0.814324748285865,                 1,                 0,       2.525155010136412,       0.000000000000000,              16,1,0,0,0,       1.048533641066518,       0.852183612338508,       0.857948060548049,       0.842051939451951,       0.998526453836311,       0.810556511697151,                 1,                 0,       2.525554751526760,       0.000000000000000,1,0,       1.038967119973036,       0.850622110145323,       1.000000000000000,       0.000035631148746,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1726715705,    7749.485722796080154,    7591.166223605676350,       0.846759900384128,       0.853240099615872,       1.004625336822096,       0.821376520123617,                 1,                 0,       2.525186511548307,       0.000000000000000,              17,1,0,0,0,       1.051766699139554,       0.856928778102858,       0.852447798307199,       0.847552201692801,       0.997415854339856,       0.817491830654098,                 1,                 0,       2.525155010136412,       0.000000000000000,1,0,       1.041043567000018,       0.855497935891631,       1.000000000000000,       0.000035926704873,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1726715705,    7907.227662887677980,    7749.485722796080154,       0.841047379895536,       0.858952620104464,       1.004314255577805,       0.828653928996267,                 1,                 0,       2.525673460104306,       0.000000000000000,              18,1,0,0,0,       1.054478799639140,       0.861710125507950,       0.846759900384128,       0.853240099615872,       0.996078847535307,       0.824762682994404,                 1,                 0,       2.525186511548307,       0.000000000000000,1,0,       1.042819171641559,       0.860461506809157,       1.000000000000000,       0.000036214341508,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
