    INT     ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,       INT        ,       INT        ,         FLOAT          ,         FLOAT          ,      INT       ,   BOOL   ,   BOOL   , BOOL , BOOL ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,       INT        ,       INT        ,         FLOAT          ,         FLOAT          ,   BOOL   ,   BOOL   ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,INT
     -      ,          Myr           ,          Myr           ,          Msol          ,          Msol          ,          Rsol          ,          Rsol          ,        -         ,        -         ,          Rsol          ,           -            ,     Count      ,  State   ,  State   ,Event ,State ,           -            ,           -            ,          Msol          ,          Msol          ,          Rsol          ,          Rsol          ,        -         ,        -         ,          Rsol          ,           -            ,  Event   ,  Event   ,           -            ,           -            ,           -            ,        Msol/Myr        ,           -            ,           -            ,           -            ,           -            ,           -            ,           -            ,           -            ,           -            ,-
    SEED    ,        Time>MT         ,        Time<MT         ,       Mass(1)>MT       ,       Mass(2)>MT       ,      Radius(1)>MT      ,      Radius(2)>MT      ,Stellar_Type(1)>MT,Stellar_Type(2)>MT,    SemiMajorAxis>MT    ,    Eccentricity>MT     ,MT_Event_Counter,RLOF(1)>MT,RLOF(2)>MT,Merger,CEE>MT,   Radius(1)|RL>step    ,   Radius(2)|RL>step    ,       Mass(1)<MT       ,       Mass(2)<MT       ,      Radius(1)<MT      ,      Radius(2)<MT      ,Stellar_Type(1)<MT,Stellar_Type(2)<MT,    SemiMajorAxis<MT    ,    Eccentricity<MT     ,RLOF(1)<MT,RLOF(2)<MT,   Radius(1)|RL<step    ,   Radius(2)|RL<step    ,          Beta          , MassTransferRateDonor  ,    Zeta_Soberman(1)    ,  Zeta_Soberman_He(1)   ,     Zeta_Hurley(1)     ,   Zeta_Hurley_He(1)    ,    Zeta_Soberman(2)    ,  Zeta_Soberman_He(2)   ,     Zeta_Hurley(2)     ,   Zeta_Hurley_He(2)    ,Record_Type
  1725934848,    9485.783971111863139,    9483.549416963611293,       0.223394762451188,       0.700000000000000,       0.020490892891800,       0.679161223384167,                10,                 0,       0.093397456427647,       0.000000000000000,               1,1,0,1,1,       0.767972279751609,      15.152009839189340,       0.995866012881245,       0.700000000000000,       7.097696529116646,       0.679161223384167,                 3,                 0,      17.246653481743760,       0.000000000000000,0,0,       1.004312716734010,       0.112885776177096,       0.011944929989162,       5.843901496238911,       0.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1725934849,    9503.987452873481743,    9502.124398353018478,       0.231668000589207,       0.700000000000000,       0.020198227030159,       0.679222508076479,                10,                 0,       0.102495757720227,       0.000000000000000,               1,1,0,1,1,       0.683214858354152,      13.901490420489763,       0.995071571903737,       0.700000000000000,       8.053141189356150,       0.679222508076479,                 3,                 0,      19.411309567615405,       0.000000000000000,0,0,       1.012608451836518,       0.100287088080878,       0.008462212238057,       8.253834338745442,       0.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1725934850,    9516.026229622983010,    9514.408864423938212,       0.238313993615377,       0.700000000000000,       0.019971792229154,       0.679263064857742,                10,                 0,       0.109409508224463,       0.000000000000000,               1,1,0,1,1,       0.628173588163751,      13.092649871413737,       0.994356949176747,       0.700000000000000,       8.894003086350882,       0.679263064857742,                 3,                 0,      21.576979278165027,       0.000000000000000,0,0,       1.006247823753454,       0.090211121502397,       0.006464076457550,      10.809377411553488,       0.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1725934851,    9526.477399108280224,    9525.073323082404386,       0.245150644061610,       0.700000000000000,       0.019746351947471,       0.679298290350807,                10,                 0,       0.115899243116029,       0.000000000000000,               1,1,0,1,1,       0.581971016268072,      12.425906831755920,       0.993544113267442,       0.700000000000000,       9.831930140151766,       0.679298290350807,                 3,                 0,      23.745853866799603,       0.000000000000000,0,0,       1.010941163015461,       0.081959636304147,       0.004932354870747,      14.170928659885799,       0.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1725934852,    9534.331411942075647,    9533.087621892400421,       0.251166519656544,       0.700000000000000,       0.019553873312495,       0.679324772651021,                10,                 0,       0.120973557336034,       0.000000000000000,               1,1,0,1,1,       0.548634239128201,      11.959715890362688,       0.992758322038979,       0.700000000000000,      10.722177072385183,       0.679324772651021,                 3,                 0,      25.916397562595520,       0.000000000000000,0,0,       1.010316197120789,       0.075084010431668,       0.003908441305421,      17.887859537828820,       0.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1725934853,    9540.187027431198658,    9539.062739738445089,       0.256292366996473,       0.700000000000000,       0.019393984366785,       0.679344522576725,                10,                 0,       0.124745279055275,       0.000000000000000,               1,1,0,1,1,       0.524920498940880,      11.642934719613940,       0.992032811838498,       0.700000000000000,      11.531311310503535,       0.679344522576725,                 3,                 0,      28.087956830702304,       0.000000000000000,0,0,       1.002711478156361,       0.069268887567469,       0.003217572675533,      21.732772965352524,       0.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1725934854,    9545.480040049882518,    9544.463773022815076,       0.261522823465789,       0.700000000000000,       0.019234539974119,       0.679362379253681,                10,                 0,       1.857211951645056,       0.000000000000000,               1,1,0,0,1,       0.034784519396589,       0.785066304199293,       0.991235870747544,       0.700000000000000,      12.407310526716721,       0.679362379253681,                 3,                 0,      30.262657648165206,       0.000000000000000,0,0,       1.001528468164535,       0.064280431040163,       0.002647345068920,      26.418409686045589,       0.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1725934855,    9550.264504233635307,    9549.345879332768163,       0.266860023944683,       0.700000000000000,       0.019075521996409,       0.679378523797616,                10,                 0,       2.034675171213572,       0.000000000000000,               1,1,0,0,1,       0.031323272126500,       0.719382738292103,       0.990359991354066,       0.700000000000000,      13.356050607712350,       0.679378523797616,                 3,                 0,      32.440924333955749,       0.000000000000000,0,0,       1.005912856091992,       0.059952960384030,       0.002176954357641,      32.131762135326859,       0.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1725934856,    9553.758916758522901,    9552.911606398978620,       0.271208102446010,       0.700000000000000,       0.018948602241724,       0.679390317346658,                10,                 0,       2.193472239659157,       0.000000000000000,               1,1,0,0,1,       0.028741573987748,       0.669386915752113,       0.989596875250508,       0.700000000000000,      14.171707855219120,       0.679390317346658,                 3,                 0,      34.619139089073855,       0.000000000000000,0,0,       1.000353900826106,       0.056171321646842,       0.001860819547739,      37.594843995244148,       0.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1725934857,    9557.747953064716057,    9556.982051609380505,       0.276742961679598,       0.700000000000000,       0.018790305079271,       0.679403782420548,                10,                 0,       2.398169610898419,       0.000000000000000,               1,1,0,0,1,       0.025932757464694,       0.614650027159988,       0.988557252524117,       0.700000000000000,      15.267943967165241,       0.679403782420548,                 3,                 0,      36.805349480397183,       0.000000000000000,0,0,       1.013948384600443,       0.052822485513823,       0.001528626678280,      45.770608688605449,       0.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
