    INT     ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,              FLOAT               ,              FLOAT               ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          , BOOL  , BOOL ,     BOOL      ,        BOOL         ,        INT         ,      INT      ,        INT         ,      INT      ,   BOOL    ,   BOOL    ,      INT       , INT  ,INT
     -      ,          Msol          ,          Msol          ,           AU           ,           -            ,                -                 ,                -                 ,           Hz           ,           Hz           ,         kms^-1         ,         kms^-1         ,         kms^-1         ,         kms^-1         ,           -            ,           -            ,           -            ,           -            ,           -            , State ,Event ,     Event     ,        Event        ,         -          ,       -       ,         -          ,       -       ,   State   ,   State   ,       -        ,  -   ,-
    SEED    ,      Mass@ZAMS(1)      ,      Mass@ZAMS(2)      ,   SemiMajorAxis@ZAMS   ,   Eccentricity@ZAMS    ,SN_Kick_Magnitude_Random_Number(1),SN_Kick_Magnitude_Random_Number(2),     Omega@ZAMS(1)      ,     Omega@ZAMS(2)      , PO_Sigma_Kick_CCSN_NS  , PO_Sigma_Kick_CCSN_BH  ,   PO_Sigma_Kick_ECSN   ,   PO_Sigma_Kick_USSN   ,     PO_LBV_Factor      ,      PO_WR_Factor      ,      PO_CE_Alpha       ,  Metallicity@ZAMS(1)   ,  Metallicity@ZAMS(2)   ,Unbound,Merger,Merger_At_Birth,Equilibrated_At_Birth,Stellar_Type@ZAMS(1),Stellar_Type(1),Stellar_Type@ZAMS(2),Stellar_Type(2),CH_on_MS(1),CH_on_MS(2),Evolution_Status,Error ,Record_Type
  1722925496,       6.000000000000000,       2.000000000000000,       0.060000000000000,       0.000000000000000,                 0.203201515600085,                 0.474300986388698,       0.000000000000000,       0.000000000000000,     265.000000000000000,     265.000000000000000,      30.000000000000000,      30.000000000000000,       1.500000000000000,       1.000000000000000,       1.000000000000000,       0.014200000000000,       0.014200000000000,0,1,0,0,                   1,             11,                   1,             15,0,0,              16,    42,         1
