    INT     ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,       INT       ,    INT     ,             FLOAT             ,         FLOAT          ,  BOOL  ,      INT       , INT  ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,INT
     -      ,          Msol          ,          Rsol          ,           -            ,           Hz           ,        -        ,     -      ,               -               ,          Msol          , State  ,       -        ,  -   ,         kms^-1         ,         kms^-1         ,         kms^-1         ,         kms^-1         ,           -            ,           -            ,-
    SEED    ,       Mass@ZAMS        ,      Radius@ZAMS       ,    Metallicity@ZAMS    ,       Omega@ZAMS       ,Stellar_Type@ZAMS,Stellar_Type,SN_Kick_Magnitude_Random_Number,          Mass          ,CH_on_MS,Evolution_Status,Error , PO_Sigma_Kick_CCSN_NS  , PO_Sigma_Kick_CCSN_BH  ,   PO_Sigma_Kick_ECSN   ,   PO_Sigma_Kick_USSN   ,     PO_LBV_Factor      ,      PO_WR_Factor      ,Record_Type
  1722568023,       7.710000000000000,       3.222998960678974,       0.014200000000000,       0.000000000000000,                1,          11,              0.028132238890976,       1.380192374643151,0,               1,    42,     265.000000000000000,     265.000000000000000,      30.000000000000000,      30.000000000000000,       1.500000000000000,       1.000000000000000,         1
