    INT     ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,       INT        ,       INT        ,         FLOAT          ,         FLOAT          ,      INT       ,   BOOL   ,   BOOL   , BOOL , BOOL ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,       INT        ,       INT        ,         FLOAT          ,         FLOAT          ,   BOOL   ,   BOOL   ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         INT         ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,INT
     -      ,          Myr           ,          Myr           ,          Msol          ,          Msol          ,          Rsol          ,          Rsol          ,        -         ,        -         ,          Rsol          ,           -            ,     Count      ,  State   ,  State   ,Event ,State ,           -            ,           -            ,          Msol          ,          Msol          ,          Rsol          ,          Rsol          ,        -         ,        -         ,          Rsol          ,           -            ,  Event   ,  Event   ,           -            ,           -            ,           -            ,        Msol/Myr        ,          -          ,           -            ,           -            ,           -            ,           -            ,           -            ,           -            ,           -            ,           -            ,-
    SEED    ,        Time>MT         ,        Time<MT         ,       Mass(1)>MT       ,       Mass(2)>MT       ,      Radius(1)>MT      ,      Radius(2)>MT      ,Stellar_Type(1)>MT,Stellar_Type(2)>MT,    SemiMajorAxis>MT    ,    Eccentricity>MT     ,MT_Event_Counter,RLOF(1)>MT,RLOF(2)>MT,Merger,CEE>MT,   Radius(1)|RL>step    ,   Radius(2)|RL>step    ,       Mass(1)<MT       ,       Mass(2)<MT       ,      Radius(1)<MT      ,      Radius(2)<MT      ,Stellar_Type(1)<MT,Stellar_Type(2)<MT,    SemiMajorAxis<MT    ,    Eccentricity<MT     ,RLOF(1)<MT,RLOF(2)<MT,   Radius(1)|RL<step    ,   Radius(2)|RL<step    ,          Beta          , MassTransferRateDonor  ,MassTransferTimescale,    Zeta_Soberman(1)    ,  Zeta_Soberman_He(1)   ,     Zeta_Hurley(1)     ,   Zeta_Hurley_He(1)    ,    Zeta_Soberman(2)    ,  Zeta_Soberman_He(2)   ,     Zeta_Hurley(2)     ,   Zeta_Hurley_He(2)    ,Record_Type
  1727156671,       0.135006717638000,       0.000000000000000,       0.850000000000000,       0.850000000000000,       0.783691620248079,       0.783691620248079,                 1,                 1,       1.614890537945627,       0.000000000000000,               1,1,1,1,1,       1.280719406506781,       1.280719406506781,       0.850000000000000,       0.850000000000000,       0.783691620248079,       0.783691620248079,                 1,                 1,       1.614890537945627,       0.000000000000000,0,0,       1.280719406506781,       1.280719406506781,       0.500000000000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000000000000,                    3,      -0.333333333333333,      -0.333333333333333,      -0.266932922021017,      -0.266932922021017,      -0.333333333333333,      -0.333333333333333,      -0.266932922021017,      -0.266932922021017,         1
  1727156672,       0.135006717638000,       0.000000000000000,       0.850000000000000,       0.850000000000000,       0.783691620248079,       0.783691620248079,                 1,                 1,       1.668648545200808,       0.000000000000000,               1,1,1,1,1,       1.239459116348702,       1.239459116348702,       0.850000000000000,       0.850000000000000,       0.783691620248079,       0.783691620248079,                 1,                 1,       1.668648545200808,       0.000000000000000,0,0,       1.239459116348702,       1.239459116348702,       0.500000000000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000000000000,                    3,      -0.333333333333333,      -0.333333333333333,      -0.266932922021017,      -0.266932922021017,      -0.333333333333333,      -0.333333333333333,      -0.266932922021017,      -0.266932922021017,         1
  1727156673,       0.135006717638000,       0.000000000000000,       0.850000000000000,       0.850000000000000,       0.783691620248079,       0.783691620248079,                 1,                 1,       1.722406552455988,       0.000000000000000,               1,1,1,1,1,       1.200774374889629,       1.200774374889629,       0.850000000000000,       0.850000000000000,       0.783691620248079,       0.783691620248079,                 1,                 1,       1.722406552455988,       0.000000000000000,0,0,       1.200774374889629,       1.200774374889629,       0.500000000000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000000000000,                    3,      -0.333333333333333,      -0.333333333333333,      -0.266932922021017,      -0.266932922021017,      -0.333333333333333,      -0.333333333333333,      -0.266932922021017,      -0.266932922021017,         1
  1727156674,       0.135006717638000,       0.000000000000000,       0.850000000000000,       0.850000000000000,       0.783691620248079,       0.783691620248079,                 1,                 1,       1.776164559711169,       0.000000000000000,               1,1,1,1,1,       1.164431324802170,       1.164431324802170,       0.850000000000000,       0.850000000000000,       0.783691620248079,       0.783691620248079,                 1,                 1,       1.776164559711169,       0.000000000000000,0,0,       1.164431324802170,       1.164431324802170,       0.500000000000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000000000000,                    3,      -0.333333333333333,      -0.333333333333333,      -0.266932922021017,      -0.266932922021017,      -0.333333333333333,      -0.333333333333333,      -0.266932922021017,      -0.266932922021017,         1
  1727156675,       0.135006717638000,       0.000000000000000,       0.850000000000000,       0.850000000000000,       0.783691620248079,       0.783691620248079,                 1,                 1,       1.829922566966350,       0.000000000000000,               1,1,1,1,1,       1.130223589055926,       1.130223589055926,       0.850000000000000,       0.850000000000000,       0.783691620248079,       0.783691620248079,                 1,                 1,       1.829922566966350,       0.000000000000000,0,0,       1.130223589055926,       1.130223589055926,       0.500000000000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000000000000,                    3,      -0.333333333333333,      -0.333333333333333,      -0.266932922021017,      -0.266932922021017,      -0.333333333333333,      -0.333333333333333,      -0.266932922021017,      -0.266932922021017,         1
  1727156676,       0.135006717638000,       0.000000000000000,       0.850000000000000,       0.850000000000000,       0.783691620248079,       0.783691620248079,                 1,                 1,       1.883680574221530,       0.000000000000000,               1,1,1,1,1,       1.097968349642229,       1.097968349642229,       0.850000000000000,       0.850000000000000,       0.783691620248079,       0.783691620248079,                 1,                 1,       1.883680574221530,       0.000000000000000,0,0,       1.097968349642229,       1.097968349642229,       0.500000000000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000000000000,                    3,      -0.333333333333333,      -0.333333333333333,      -0.266932922021017,      -0.266932922021017,      -0.333333333333333,      -0.333333333333333,      -0.266932922021017,      -0.266932922021017,         1
  1727156677,       0.135006717638000,       0.000000000000000,       0.850000000000000,       0.850000000000000,       0.783691620248079,       0.783691620248079,                 1,                 1,       1.937438581476711,       0.000000000000000,               1,1,1,1,1,       1.067503079119415,       1.067503079119415,       0.850000000000000,       0.850000000000000,       0.783691620248079,       0.783691620248079,                 1,                 1,       1.937438581476711,       0.000000000000000,0,0,       1.067503079119415,       1.067503079119415,       0.500000000000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000000000000,                    3,      -0.333333333333333,      -0.333333333333333,      -0.266932922021017,      -0.266932922021017,      -0.333333333333333,      -0.333333333333333,      -0.266932922021017,      -0.266932922021017,         1
  1727156678,       0.135006717638000,       0.000000000000000,       0.850000000000000,       0.850000000000000,       0.783691620248079,       0.783691620248079,                 1,                 1,       1.991196588731891,       0.000000000000000,               1,1,1,1,1,       1.038682801605392,       1.038682801605392,       0.850000000000000,       0.850000000000000,       0.783691620248079,       0.783691620248079,                 1,                 1,       1.991196588731891,       0.000000000000000,0,0,       1.038682801605392,       1.038682801605392,       0.500000000000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000000000000,                    3,      -0.333333333333333,      -0.333333333333333,      -0.266932922021017,      -0.266932922021017,      -0.333333333333333,      -0.333333333333333,      -0.266932922021017,      -0.266932922021017,         1
